Player ID,Name,Last Name,Cost Today,Form,Position,Team,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Points,Points/Game,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Chance Of Playing Next,Total Cost Change,Cost Change GW,Total Transfers Out,Transfers Out GW,Total Transfers in,Transfers in GW,Influence,Creativity,Threat,ICT Index,Last GW,GW39,GW40,GW41,GW42,GW43,GW44,Difficulty Score,Cost Today,Total Cost Change,Cost Change GW,Position,Team,Index,xGi,xGc
3,Granit,Xhaka,£4.80,0,MID,Arsenal,2.7,7,8,13,15,153,4.1,15,634,35,2992,4,0,0,0,0,100,-£0.20,£0.00,832169,0,942505,0,715,675.5,556,194.8,38,,,,,,,0,48,-2,0,3,3,#DIV/0!,0.26,1.1
4,Mohamed,Elneny,£4.10,0,MID,Arsenal,0.6,0,0,0,0,6,1.2,0,27,2,111,0,0,0,0,0,100,-£0.40,£0.00,279536,0,202760,0,4.6,5.4,0,1.1,38,,,,,,,0,41,-4,0,3,3,#DIV/0!,0.03,1.05
5,Rob,Holding,£4.20,0,DEF,Arsenal,0.2,1,0,0,0,21,1.5,0,120,13,562,0,0,0,0,0,,-£0.30,£0.00,27980,0,23338,0,152,10.3,54,21.6,38,,,,,,,0,42,-3,0,2,3,#DIV/0!,0.07,1.78
6,Thomas,Partey,£4.70,0,MID,Arsenal,0.4,3,0,11,3,86,2.6,6,468,28,2480,5,0,0,0,0,100,-£0.30,£0.00,141958,0,110171,0,526.6,444.1,242,121.5,38,,,,,,,0,47,-3,0,3,3,#DIV/0!,0.17,1.17
7,Martin,Ødegaard,£6.90,0,MID,Arsenal,33.3,15,8,13,3,212,5.7,30,813,38,3132,4,0,0,0,0,100,£0.40,£0.00,5015435,0,7014051,0,971.8,1140.3,934,304.9,38,,,,,,,0,69,4,0,3,3,#DIV/0!,0.51,1.09
8,Kieran,Tierney,£4.60,0,DEF,Arsenal,0.8,0,1,1,1,37,1.4,0,164,10,774,0,0,0,0,0,100,-£0.40,£0.00,158213,0,98909,0,144.6,86.1,67,30,38,,,,,,,0,46,-4,0,2,3,#DIV/0!,0.09,1.27
9,Nicolas,Pépé,£5.30,0,MID,Arsenal,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-£0.20,£0.00,36735,0,5198,0,0,0,0,0,38,,,,,,,0,53,-2,0,3,3,#DIV/0!,0,0
10,Benjamin,White,£5.00,0,DEF,Arsenal,16.1,2,5,15,6,156,4.1,12,734,35,3054,5,0,0,0,0,,£0.50,£0.00,2217969,0,3320417,0,655.4,492.5,159,130.8,38,,,,,,,0,50,5,0,2,3,#DIV/0!,0.15,1.1
11,Eddie,Nketiah,£6.30,0,FWD,Arsenal,1.8,4,2,2,1,63,2.1,5,161,16,1071,3,0,0,0,0,100,-£0.70,£0.00,1865358,0,1928295,0,213.4,128.5,607,93.8,38,,,,,,,0,63,-7,0,4,3,#DIV/0!,0.77,1.23
12,Emile,Smith Rowe,£5.60,0,MID,Arsenal,0.4,0,2,0,4,18,1.5,0,60,5,161,0,0,0,0,0,100,-£0.40,£0.00,151276,0,29334,0,53.8,74.4,41,16.7,38,,,,,,,0,56,-4,0,3,3,#DIV/0!,0.45,1.51
13,Bukayo,Saka,£8.00,0,MID,Arsenal,25.6,14,12,12,6,202,5.3,19,678,42,3183,6,0,0,0,1,100,£0.00,£0.00,5658739,0,6134396,0,1014.2,1106.1,1214,333.4,38,,,,,,,0,80,0,0,3,3,#DIV/0!,0.49,1.12
14,Takehiro,Tomiyasu,£4.20,0,DEF,Arsenal,0.5,0,1,2,0,32,1.5,0,173,11,651,2,0,0,0,0,100,-£0.30,£0.00,224586,0,89696,0,137,86.6,55,27.7,38,,,,,,,0,42,-3,0,2,3,#DIV/0!,0.06,1.23
15,Aaron,Ramsdale,£4.80,0,GK,Arsenal,11.4,0,0,14,6,143,3.8,9,664,43,3420,1,0,94,0,0,100,-£0.20,£0.00,2122893,0,1717985,0,764.8,0,0,76.5,38,,,,,,,0,48,-2,0,1,3,#DIV/0!,0,1.11
16,Gabriel,Gabriel,£5.20,0,DEF,Arsenal,13.4,3,0,14,6,146,3.8,15,723,43,3409,5,0,0,0,0,100,£0.20,£0.00,2469370,0,2905664,0,743.8,131.4,401,127.7,38,,,,,,,0,52,2,0,2,3,#DIV/0!,0.15,1.1
17,Nuno,Tavares,£4.50,0,DEF,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,1980,0,0,0,0,0,0,0,38,,,,,,,0,45,0,0,2,3,#DIV/0!,0,0
19,Gabriel,Martinelli,£6.50,0,MID,Arsenal,26.3,15,9,14,0,198,5.5,18,648,33,2789,3,0,0,0,0,100,£0.50,£0.00,7632579,0,7872522,0,844.2,838.1,1300,298.1,38,,,,,,,0,65,5,0,3,3,#DIV/0!,0.53,1.17
20,Pablo,Pablo Marí,£4.50,0,DEF,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,4185,0,162,0,0,0,0,0,38,,,,,,,0,45,0,0,2,3,#DIV/0!,0,0
22,Lucas,Torreira,£4.50,0,MID,Arsenal,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,39180,0,2811,0,0,0,0,0,38,,,,,,,0,45,0,0,3,3,#DIV/0!,0,0
23,Reiss,Nelson,£4.70,0,MID,Arsenal,0,3,3,1,1,42,3.8,5,127,3,202,0,0,0,0,0,100,-£0.30,£0.00,17959,0,17506,0,179.8,121.9,178,48,38,,,,,,,0,47,-3,0,3,3,#DIV/0!,0.93,0.96
